	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
品	しな/ひん	Dishes of food, specific dishes in a course, items on a menu	Common	Daily/Formal	ひとしな いっぴん	ふたしな にひん	さんしな (みしな) さんぴん	よんしな よんひん よんぴん	ごしな ごひん	ろくしな ろっぴん	ななしな ななひん (しちひん)	はっしな はちしな はっぴん (はちひん)	きゅうしな きゅうひん	じゅっしな (じっしな) じゅっぴん (じっぴん)	なんしな なんぴん (なんひん)		
社	しゃ	Companies, publishers	Common	Formal	いっしゃ	にしゃ	さんしゃ	よんしゃ	ごしゃ	ろくしゃ	ななしゃ (しちしゃ)	はっしゃ (はちしゃ)	きゅうしゃ	じゅっしゃ (じっしゃ)	なんしゃ		
種類	しゅるい	Kinds, varieties, types	Common	Daily	いっしゅるい	にしゅるい	さんしゅるい	よんしゅるい	ごしゅるい	ろくしゅるい	ななしゅるい (しちしゅるい)	はっしゅるい (はちしゅるい)	きゅうしゅるい	じゅっしゅるい (じっしゅるい)	なんしゅるい		
週	しゅう	Weeks	Common	Daily	いっしゅう	にしゅう	さんしゅう	よんしゅう	ごしゅう	ろくしゅう	ななしゅう (しちしゅう)	はっしゅう (はちしゅう)	きゅうしゅう	じゅっしゅう (じっしゅう)	なんしゅう		
周	しゅう	Numbers of times you go around something, circuits, rounds, laps	Common	Daily	いっしゅう	にしゅう	さんしゅう	よんしゅう	ごしゅう	ろくしゅう	ななしゅう (しちしゅう)	はっしゅう (はちしゅう)	きゅうしゅう	じゅっしゅう (じっしゅう)	なんしゅう		
色	しょく/いろ	Colors	Common	Daily	いっしょく	にしょく	さんしょく	よんしょく	ごしょく	ろくしょく	ななしょく (しちしょく) なないろ	はっしょく (はちしょく)	きゅうしょく	じゅっしょく (じっしょく)	なんしょく		
席	せき	Seats, parties, banquets, performances	Common	Daily/Formal	いっせき ひとせき	にせき ふたせき	さんせき	よんせき	ごせき	ろくせき	ななせき (しちせき)	はっせき はちせき	きゅうせき	じゅっせき (じっせき)	なんせき		
戦	せん	Battles, fights, matches	Common	Formal	いっせん	にせん	さんせん	よんせん	ごせん	ろくせん	ななせん (しちせん)	はっせん (はちせん)	きゅうせん	じゅっせん (じっせん)	なんせん		
足	そく	Shoes, socks, stockings, slippers	Common	Daily	いっそく	にそく	さんそく	よんそく	ごそく	ろくそく	ななそく (しちそく)	はっそく (はちそく)	きゅうそく	じゅっそく (じっそく)	なんそく		
束	たば	Bundles	Common	Daily	ひとたば	ふたたば	さんたば (みたば)	よんたば	ごたば	ろくたば	ななたば	はったば はちたば	きゅうたば	じゅったば (じったば)	なんたば		Kun'yomi. I didn't see the usage for しちたば, so I'm not adding it.
玉	たま	Ball-shaped things	Common	Daily	ひとたま	ふたたま	さんたま (みたま)	よんたま	ごたま	ろくたま	ななたま	はったま はちたま	きゅうたま	じゅったま (じったま)	なんたま		Kun'yomi. I didn't see the usage for しちたま, so I'm not adding it.
段	だん	Steps of stairs, shelves, cake tiers, bunk bed levels, drawers	Common	Daily	いちだん	にだん	さんだん	よだん よんだん	ごだん	ろくだん	しちだん ななだん	はちだん	きゅうだん	じゅうだん	なんだん		
着	ちゃく	Clothes or garments, places in a race	Common	Daily	いっちゃく	にちゃく	さんちゃく	よんちゃく	ごちゃく	ろくちゃく	ななちゃく	はっちゃく	きゅうちゃく	じゅっちゃく (じっちゃく)	なんちゃく		This is On'yomi, but I think it's such a mouthful to say しちちゃく that I didn't see any usage. I'm not adding it as it sounds so weird.
通	つう	Written postcards, greeting cards, letters, emails, messages	Common	Daily	いっつう	につう	さんつう	よんつう	ごつう	ろくつう	ななつう (しちつう)	はっつう (はちつう)	きゅうつう	じゅっつう (じっつう)	なんつう		
粒	つぶ	Small, round things	Common	Daily	ひとつぶ	ふたつぶ	さんつぶ (みつぶ)	よんつぶ (よつぶ)	ごつぶ 	ろくつぶ 	ななつぶ 	はっつぶ はちつぶ	きゅうつぶ	じゅっつぶ (じっつぶ)	なんつぶ		田三七粒 (でんさんしちつぶ) Kun'yomi, and I only saw しちつぶ usage as a product name, so I'm not adding it.
点	てん	Dots, points, items and products, test scores, sports game scores	Common	Daily/Formal	いってん	にてん	さんてん	よんてん	ごてん	ろくてん	ななてん (しちてん)	はってん はちてん	きゅうてん	じゅってん (じってん)	なんてん		
