	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
封	ふう	Sealed official letters, money in envelopes (bills)	Semi Common	Formal	いっぷう	にふう	さんぷう	よんふう (よんぷう)	ごふう	ろっぷう	ななふう (しちふう)	はっぷう (はちふう)	きゅうふう	じゅっぷう (じっぷう)	なんふう なんぷう		
服	ふく	Sips of tea, doses of medicine, cigarette puffs	Semi Common	Daily/Formal	いっぷく	にふく	さんぷく	よんふく (よんぷく)	ごふく	ろっぷく	ななふく (しちふく)	はっぷく (はちふく)	きゅうふく	じゅっぷく (じっぷく)	なんふく なんぷく		
房	ふさ	Bunches, fringes	Semi Common	Daily	ひとふさ	ふたふさ	さんふさ (みふさ)	よんふさ	ごふさ	ろくふさ	ななふさ	はちふさ	きゅうふさ	じゅっふさ (じっふさ)	なんふさ		
節	ふし	Tree knots/joints	Semi Common	Formal	ひとふし	ふたふし	さんふし (みふし)	よんふし	ごふし	ろくふし	ななふし	はちふし	きゅうふし	じゅっふし (じっふし)	なんふし		
仏	ぶつ	Buddha, Amitabha, Buddha statues	Semi Common	Formal	いちぶつ	にぶつ	さんぶつ	よんぶつ	ごぶつ	ろくぶつ	しちぶつ (ななぶつ)	はちぶつ	きゅうぶつ	じゅうぶつ	なんぶつ		
筆	ふで	Writing strokes, calligraphy brush strokes	Semi Common	Formal	ひとふで	ふたふで	さんふで (みふで)	よんふで	ごふで	ろくふで	ななふで	はちふで	きゅうふで	じゅっふで (じっふで)	なんふで		
舟	ふね	Boats, boat trays with food	Semi Common	Formal	ひとふね	ふたふね	さんふね (みふね)	よんふね	ごふね	ろくふね	ななふね	はちふね	きゅうふね	じゅっふね (じっふね)	なんふね		
振り	ふり	Swings	Semi Common	Daily	ひとふり	ふたふり	さんふり (みふり)	よんふり	ごふり	ろくふり	ななふり	はちふり	きゅうふり	じゅっふり (じっふり)	なんふり		
文	ぶん	Sentences	Semi Common	Formal	いちぶん	にぶん	さんぶん	よんぶん	ごぶん	ろくぶん	ななぶん (しちぶん)	はちぶん	きゅうぶん	じゅうぶん	なんぶん		
文節	ぶんせつ	Smallest units of words in a sentence	Semi Common	Formal	いちぶんせつ	にぶんせつ	さんぶんせつ	よんぶんせつ	ごぶんせつ	ろくぶんせつ	ななぶんせつ (しちぶんせつ)	はちぶんせつ	きゅうぶんせつ	じゅうぶんせつ	なんぶんせつ		
辺	へん	The sides or edges of something	Semi Common	Formal	いっぺん	にへん	さんぺん	よんへん (よんぺん)	ごへん	ろっぺん	ななへん (しちへん)	はっぺん (はちへん)	きゅうへん	じゅっぺん (じっぺん)	なんへん なんぺん		
遍	へん	Number of times something happens	Semi Common	Formal	いっぺん	にへん	さんべん	よんへん (よんべん)	ごへん	ろっぺん	ななへん (しちへん)	はっぺん	きゅうへん	じゅっぺん (じっぺん)	なんへん なんべん		
編/篇	へん	Poems, pieces of writing	Semi Common	Formal	いっぺん	にへん	さんぺん	よんへん (よんぺん)	ごへん	ろっぺん	ななへん (しちへん)	はっぺん はちへん	きゅうへん	じゅっぺん (じっぺん)	なんへん なんぺん		
弁	べん	Petals still attached to a flower	Semi Common	Formal	いちべん	にべん	さんべん	よんべん	ごべん	ろくべん	ななべん (しちべん)	はちべん	きゅうべん	じゅうべん	なんべん		
包	ほう	Packages of granulated medicine	Semi Common	Formal	いっぽう	にほう	さんぽう (さんほう)	よんほう	ごほう	ろっぽう	ななほう (しちほう)	はっぽう はちほう	きゅうほう	じゅっぽう (じっぽう)	なんほう		
峰	ほう/みね	Steep mountains	Semi Common	Formal	いっぽう ひとみね	にほう ふたみね	さんぽう (さんほう) さんみね	よんほう (よんぽう) よんみね	ごほう ごみね	ろっぽう ろくみね	ななほう (しちほう) ななみね	はっぽう はちほう はちみね	きゅうほう きゅうみね	じゅっぽう (じっぽう) じゅうみね	なんほう なんみね		
報	ほう	News items	Semi Common	Formal	いっぽう	にほう	さんぽう	よんほう	ごほう	ろっぽう	ななほう (しちほう)	はっぽう はちほう	きゅうほう	じゅっぽう (じっぽう)	なんほう なんぽう		
間	ま	Rooms, tatami rooms	Semi Common	Formal	ひとま	ふたま	さんま	よんま	ごま	ろくま	ななま	はちま	きゅうま	じゅうま	なんま		
巻き	まき	Number of times something is wrapped around something else	Semi Common	Daily	ひとまき	ふたまき	さんまき	よんまき	ごまき	ろくまき	ななまき	はちまき	きゅうまき	じゅうまき	なんまき		
幕	まく	Parts of a play	Semi Common	Formal	ひとまく	ふたまく	さんまく	よんまく	ごまく	ろくまく	ななまく	はちまく	きゅうまく	じゅうまく	なんまく		
升/枡	ます	Squares on a manuscript paper, masu cups	Semi Common	Formal	ひとます (いちます)	ふたます (にます)	さんます	よんます	ごます	ろくます	ななます	はちます	きゅうます	じゅうます	なんます		
回り/廻り/周り	まわり	Number of times someone goes around something, circuits, rounds, laps etc.	Semi Common	Daily	ひとまわり	ふたまわり	さんまわり	よんまわり	ごまわり	ろくまわり	ななまわり	はちまわり	きゅうまわり	じゅうまわり	なんまわり		
目	め	Seams, sutures, stitches, meshes	Semi Common	Formal	ひとめ	ふため	さんめ (みめ)	よんめ	ごめ	ろくめ	ななめ	はちめ	きゅうめ	じゅうめ	なんめ		
面	めん	Geometrical surfaces	Semi Common	Formal	いちめん	にめん	さんめん	よんめん (しめん)	ごめん	ろくめん	ななめん (しちめん)	はちめん	きゅうめん (くめん)	じゅうめん	なんめん		
盛/盛り	もり	Piles of things (on a plate, in a basket, in a bowl etc.)	Semi Common	Formal	ひともり	ふたもり	さんもり	よんもり	ごもり	ろくもり	ななもり	はちもり	きゅうもり	じゅうもり	なんもり		
夜	や	Nights	Semi Common	Daily	いちや ひとよ	にや ふたよ	さんや	よんや	ごや	ろくや	ななや (しちや)	はちや	きゅうや	じゅうや	なんや		
山	やま	Mountains, piles of something	Semi Common	Daily	ひとやま	ふたやま	さんやま	よんやま	ごやま	ろくやま	ななやま	はちやま	きゅうやま	じゅうやま	なんやま		
翼	よく	Wings	Semi Common	Formal	いちよく	によく	さんよく	よんよく しよく	ごよく	ろくよく	ななよく (しちよく)	はちよく	きゅうよく	じゅうよく	なんよく		
装い	よそい	Ladles of soup, scoops of a meal	Semi Common	Daily	ひとよそい	ふたよそい	さんよそい	よんよそい	ごよそい	ろくよそい	ななよそい	はちよそい	きゅうよそい	じゅうよそい	なんよそい		
両	りょう	Train cars	Semi Common	Formal	いちりょう	にりょう	さんりょう	よんりょう	ごりょう	ろくりょう	ななりょう しちりょう	はちりょう	きゅうりょう	じゅうりょう	なんりょう		
輪	りん	Circles, rings, hoops, wheels, flowers	Semi Common	Formal	いちりん	にりん	さんりん	よんりん	ごりん	ろくりん	ななりん しちりん	はちりん	きゅうりん	じゅうりん	なんりん		
塁	るい	Baseball bases	Semi Common	Formal	いちるい	にるい	さんるい	よんるい	ごるい	ろくるい	ななるい (しちるい)	はちるい	きゅうるい	じゅうるい	なんるい		
礼	れい	Bows, nods	Semi Common	Formal	いちれい	にれい	さんれい	よんれい	ごれい	ろくれい	ななれい (しちれい)	はちれい	きゅうれい	じゅうれい	なんれい		
嶺	れい/りょう	Series of mountain peaks, mountain ranges	Semi Common	Formal	いちれい いちりょう	にれい 　にりょう	さんれい さんりょう	よんれい よんりょう	ごれい ごりょう	ろくれい ろくりょう	ななれい (しちれい) ななりょう (しちりょう)	はちれい はちりょう	きゅうれい きゅうりょう	じゅうれい じゅうりょう	なんれい なんりょう		
列	れつ	Lines of people, queues, army files, rows of seats	Semi Common	Daily	いちれつ	にれつ	さんれつ	よんれつ	ごれつ	ろくれつ	ななれつ (しちれつ)	はちれつ	きゅうれつ	じゅうれつ	なんれつ		
連	れん	Pearl necklaces, juzu prayer beads, dried konbu, katsuobushi etc.	Semi Common	Formal	いちれん	にれん	さんれん	よんれん	ごれん	ろくれん	ななれん (しちれん)	はちれん	きゅうれん	じゅうれん	なんれん		
浪	ろう	Years of entrance exam preparation after failing	Semi Common	Formal	いちろう	にろう	さんろう	よんろう	ごろう	ろくろう	ななろう (しちろう)	はちろう	きゅうろう	じゅうろう	なんろう		
路線	ろせん	Train lines, bus routes	Semi Common	Formal	いちろせん	にろせん	さんろせん	よんろせん	ごろせん	ろくろせん	ななろせん (しちろせん)	はちろせん	きゅうろせん	じゅうろせん	なんろせん		
把	わ	Bunches	Semi Common	Formal	いちわ	にわ	さんわ	よんわ	ごわ	ろくわ	ななわ (しちわ)	はちわ	きゅうわ	じゅうわ	なんわ		
枠	わく	Frames, positions	Semi Common	Formal	ひとわく	ふたわく	さんわく	よんわく	ごわく	ろくわく	ななわく	はちわく	きゅうわく	じゅうわく	なんわく		
枠	わく	Horse race gates	Semi Common	Formal	いちわく	にわく	さんわく	よんわく	ごわく	ろくわく	ななわく	はちわく	きゅうわく	じゅうわく	なんわく		
椀	わん	Bowls of soup/rice	Semi Common	Formal	ひとわん	ふたわん	さんわん	よんわん	ごわん	ろくわん	ななわん	はちわん	きゅうわん	じゅうわん	なんわん		
握	あく	Handfuls of something	Rare But Interesting	Formal	いちあく	にあく	さんあく	よんあく	ごあく	ろくあく	ななあく (しちあく)	はちあく	きゅうあく	じゅうあく	なんあく		
重	え	Layers	Rare But Interesting	Formal	ひとえ	ふたえ	みえ	よえ	いつえ	むえ	ななえ	やえ	きゅうえ	とえ	いくえ		
重ね	かさね	Layers	Rare But Interesting	Formal	ひとかさね	ふたかさね	みかさね	よんかさね よかさね	ごかさね	ろっかさね ろくかさね	ななかさね	はっかさね はちかさね	きゅうかさね	じゅっかさね じゅうかさね	なんかさね		
果	か	Fruit	Rare But Interesting	Formal	いっか	にか	さんか	よんか	ごか	ろっか	ななか (しちか)	はっか はちか	きゅうか	じゅっか (じっか)	なんか		
角	かく	Horns, antlers, official documents	Rare But Interesting	Formal	いっかく	にかく	さんかく	よんかく	ごかく	ろっかく	ななかく (しちかく)	はっかく はちかく	きゅうかく	じゅっかく (じっかく)	なんかく		
騎	き	Warriors on horses, horses	Rare But Interesting	Formal	いっき	にき	さんき	よんき	ごき	ろっき	ななき (しちき)	はっき はちき	きゅうき	じゅっき (じっき)	なんき		
掬	きく	Handfuls of liquid	Rare But Interesting	Formal	いっきく	にきく	さんきく	よんきく	ごきく	ろっきく	ななきく (しちきく)	はっきく はちきく	きゅうきく	じゅっきく (じっきく)	なんきく		
橋	きょう	Bridges, rainbows	Rare But Interesting	Formal	いっきょう	にきょう	さんきょう	よんきょう	ごきょう	ろっきょう	ななきょう (しちきょう)	はっきょう はちきょう	きゅうきょう	じゅっきょう (じっきょう)	なんきょう		
雫	しずく	Drops of liquid	Rare But Interesting	Formal	ひとしずく	ふたしずく	さんしずく	よんしずく	ごしずく	ろくしずく	ななしずく	はちしずく (はっしずく)	きゅうしずく	じゅしずく (じっしずく)	なんしずく		
帖	じょう	Photo albums, notebooks, sets of ten pieces of nori seaweed, Japanese manuscript papers	Rare But Interesting	Formal	いちじょう	にじょう	さんじょう	よんじょう	ごじょう	ろくじょう	ななじょう (しちじょう)	はちじょう	きゅうじょう	じゅうじょう	なんじょう		
石	せき	Stones, pebbles, small rocks	Rare But Interesting	Formal	いっせき	にせき	さんせき	よんせき	ごせき	ろっせき ろくせき	ななせき (しちせき)	はっせき はちせき	きゅうせき	じゅっせき (じっせき)	なんせき		
年/歳	とせ	Years, ages	Rare But Interesting	Formal	ひととせ	ふたとせ	みとせ	よとせ (よんとせ)	いつとせ	むとせ	ななとせ	はちとせ	ここのとせ	とをとせ	いくとせ		
流れ	ながれ	Flags, banners, streamers, floats, rivers, streams, futon mattresses	Rare But Interesting	Formal	ひとながれ	ふたながれ	みながれ	(よんながれ)	(いつながれ) (ごながれ)	(むつながれ) (ろくながれ)	（ななながれ) (しちながれ)	(やつながれ) (はちながれ)	(ここのながれ) (きゅうながれ)	(とおながれ) (じゅうながれ)	なんながれ		
片/枚	ひら	Petals, confetti, snow flakes	Rare But Interesting	Formal	ひとひら	ふたひら	さんひら	よんひら	ごひら	ろくひら	ななひら	はちひら	きゅうひら	じゅっひら (じっひら)	なんひら		
口	ふり	Swords, katana swords, knives etc.	Rare But Interesting	Formal	ひとふり	ふたふり	さんふり みふり	よんふり	ごふり	ろくふり	ななふり	はちふり	きゅうふり	じゅっふり (じっふり)	なんふり		
 瓶	へい	Earthenware pots/jars/vases holding flowers	Rare But Interesting	Formal	いっぺい	にへい	さんへい	よんへい	ごへい	ろくへい	ななへい (しちへい)	はちへい	きゅうへい	じゅっへい (じっへい)	なんへい		
 瓶	かめ	Earthenware pots/jars/vases holding food	Rare But Interesting	Formal	ひとかめ	ふたかめ	みかめ みつかめ	よんかめ よつかめ	ごかめ	ろっかめ	ななかめ	はっかめ はちかめ (やつかめ)	きゅうかめ	じゅっかめ (じっかめ)	なんかめ		
別	べつ	Separations, partings, good-byes	Rare But Interesting	Formal	いちべつ	にべつ	さんべつ	よんべつ	ごべつ	ろくべつ	ななべつ (しちべつ)	はちべつ	くべつ	じゅうべつ	なんべつ		
片	へん	Petals, pieces of paper, pieces of broken glass, imperfect pieces	Rare But Interesting	Formal	いっぺん	にへん	さんぺん	しへん よんへん	ごへん	ろっぺん	しちへん ななへん	はっぺん	きゅうへん	じゅっぺん (じっぺん)	なんへん		
舗	ほ	Folding maps, folding documents	Rare But Interesting	Formal	いっぽ	にほ	さんぽ	よんほ よんぽ	ごほ	ろっぽ	ななほ (しちほ)	はちほ	きゅうほ	じゅっぽ (じっぽ)	なんほ		
門	もん	Kadomatsu, tower gates, cannons, artilleries, bazookas	Rare But Interesting	Formal	いちもん	にもん	さんもん	よんもん	ごもん	ろくもん	ななもん (しちもん)	はちもん	きゅうもん	じゅうもん	なんもん		
葉	よう	Leaves, postcards, bookmarks, photographs	Rare But Interesting	Formal	いちよう	によう	さんよう	よんよう	ごよう	ろくよう	ななよう (しちよう)	はちよう	きゅうよう	じゅうよう	なんよう		
旒/流	りゅう	Flags, banners, floats, streamers, battle flags	Rare But Interesting	Formal	いちりゅう	にりゅう	さんりゅう	よんりゅう	ごりゅう	ろくりゅう	ななりゅう (しちりゅう)	はちりゅう	きゅうりゅう	じゅうりゅう	なんりゅう		
鱗	りん	Fish scales, fish	Rare But Interesting	Formal	いちりん	にりん	さんりん	よんりん (よりん)	ごりん	ろくりん	ななりん (しちりん)	はちりん	きゅうりん	じゅうりん	なんりん		
アイテム	あいてむ	Items	New Gairaigo Counters	Daily	いちあいてむ わんあいてむ	にあいてむ つーあいてむ	さんあいてむ すりーあいてむ	よんあいてむ (ふぉーあいてむ)	ごあいてむ (ふぁいぶあいてむ)	ろくあいてむ (しっくすあいてむ)	ななあいてむ (せぶんあいてむ)	はちあいてむ (えいとあいてむ)	きゅうあいてむ (ないんあいてむ)	じゅうあいてむ (てんあいてむ)	なんあいてむ		
アクセス	あくせす	Access permissions	New Gairaigo Counters	Formal	いちあくせす (わんあくせす)	にあくせすす (つーあくせす)	さんあくせすす (すりーあくせす)	よんあくせす (ふぉーあくせす)	ごあくせす (ふぁいぶあくせす)	ろくあくせす (しっくすあくせす)	ななあくせす (せぶんあくせす)	はちあくせす (えいとあくせす)	きゅうあくせす (ないんあくせす)	じゅうあくせす (てんあくせす)	なんあくせす		
イニング	いにんぐ	Innings	New Gairaigo Counters	Formal	わんいにんぐ (いちいにんぐ)	つーいにんぐ (にいにんぐ)	すりーいにんぐ (さんいにんぐ)	ふぉーいにんぐ (よんいにんぐ)	ふぁいぶいにんぐ (ごいにんぐ)	しっくすいにんぐ (ろくいにんぐ)	せぶんいにんぐ (なないにんぐ)	えいといにんぐ (はちいにんぐ)	ないんいにんぐ (きゅういにんぐ)	てんいにんぐ (じゅういにんぐ)	なんいにんぐ		
インチ	いんち	Inches	New Gairaigo Counters	Formal	いちいんち	にいんち	さんいんち	よんいんち	ごいんち	ろくいんち	なないんち	はちいんち	きゅういんち	じゅういんち	なんいんち		
エーカー	えーかー	Acres	New Gairaigo Counters	Formal	いちえーかー	にえーかー	さんえーかー	よんえーかー	ごえーかー	ろくえーかー	ななえーかー	はちえーかー	きゅうえーかー	じゅうえーかー	なんえーかー		
オンス	おんす	Ounces	New Gairaigo Counters	Formal	いちおんす	におんす	さんおんす	よんおんす	ごおんす	ろくおんす	ななおんす	はちおんす	きゅうおんす	じゅうおんす	なんおんす		
カートン	かーとん	Cartons	New Gairaigo Counters	Daily	わんかーとん (いちかーとん) (いっかーとん)	つーかーとん (にかーとん)	すりーかーとん (さんかーとん)	よんかーとん (ふぉーかーとん)	ごかーとん (ふぁいぶかーとん)	ろくかーとん ろっかーとん (しっくすかーとん)	ななかーとん (せぶんかーとん)	はちかーとん はっかーとん (えいとかーとん)	きゅうかーとん (ないんかーとん)	じゅっかーとん (じっかーとん) (てんかーとん)	なんかーとん		
カット	かっと	Slices, pieces cut	New Gairaigo Counters	Daily	わんかっと いちかっと いっかっと ひとかっと	つーかっと にかっと ふたかっと	さんかっと (すりーかっと)	よんかっと (ふぉーかっと)	ごかっと (ふぁいぶかっと)	ろくかっと ろっかっと (しっくすかっと)	ななかっと (せぶんかっと)	はちかっと はっかっと (えいとかっと)	きゅうかっと (ないんかっと)	じゅっかっと (じっかっと) (てんかっと)	なんかっと		
カップ	かっぷ	Cups	New Gairaigo Counters	Daily	わんかっぷ いちかっぷ いっかっぷ ひとかっぷ	つーかっぷ にかっぷ ふたかっぷ	さんかっぷ (すりーかっぷ)	よんかっぷ (ふぉーかっぷ)	ごかっぷ (ふぁいぶかっぷ)	ろくかっぷ ろっかっぷ (しっくすかっぷ)	ななかっぷ (せぶんかっぷ)	はちかっぷ はっかっぷ (えいとかっぷ)	きゅうかっぷ (ないんかっぷ)	じゅっかっぷ (じっかっぷ) (てんかっぷ)	なんかっぷ		
カラー	からー	Colors	New Gairaigo Counters	Formal	わんからー (いちからー) (いっからー)	つーからー (にからー)	さんからー (すりーからー)	よんからー (ふぉーからー)	ごからー (ふぁいぶからー)	ろくからー ろっからー (しっくすからー)	ななからー (せぶんからー)	はちからー はっからー (えいとからー)	きゅうからー (ないんからー)	じゅっからー (じっからー) (てんからー)	なんからー		
カラット	からっと	Carats	New Gairaigo Counters	Formal	いちからっと いっからっと (わんからっと)	にからっと (つーからっと)	さんからっと (すりーからっと)	よんからっと (ふぉーからっと)	ごからっと (ふぁいぶからっと)	ろくからっと ろっからとお (しっくすからっと)	ななからっと (せぶんからっと)	はちからっと はっからっと (えいとからっと)	きゅうからっと (ないんからっと)	じゅっからっと (じっからっと) (てんからっと)	なんからっと		
ガロン	がろん	Gallons	New Gairaigo Counters	Formal	いちがろん	にがろん	さんがろん	よんがろん	ごがろん	ろくがろん	なながろん	はちがろん	きゅうがろん	じゅうがろん	なんがろん		
キロ/キログラム	きろ/きろぐらむ	Kilograms	New Gairaigo Counters	Formal	いちきろ(ぐらむ) いっきろ(ぐらむ)	にきろ(ぐらむ)	さんきろ(ぐらむ)	よんきろ(ぐらむ)	ごきろ(ぐらむ)	ろっきろ(ぐらむ)	ななきろ(ぐらむ)	はちきろ(ぐらむ) はっきろ(ぐらむ)	きゅうきろ(ぐらむ)	じゅっきろ(ぐらむ) (じっきろ(ぐらむ))	なんきろ(ぐらむ)		
キロ/キロメートル	きろ/きろめーとる	Kilometers	New Gairaigo Counters	Formal	いちきろ(めーとる) いっきろ(めーとる)	にきろ(めーとる)	さんきろ(めーとる)	よんきろ(めーとる)	ごきろ(めーとる)	ろっきろ(めーとる)	ななきろ(めーとる)	はちきろ(めーとる) はっきろ(めーとる)	きゅうきろ(めーとる)	じゅっきろ(めーとる) (じっきろ(めーとる))	なんきろ(めーとる)		
クール	くーる	Courses (of medical treatment)	New Gairaigo Counters	Formal	いちくーる (いっくーる) わんくーる	にくーる つーくーる	さんくーる (すりーくーる)	よんくーる (ふぉーくーる)	ごくーる (ふぁいぶくーる)	ろっくーる (ろくくーる) (しっくすくーる)	ななくーる (せぶんくーる)	はちくーる はっくーる (えいとくーる)	きゅうくーる (ないんくーる)	じゅっくーる (じっくーる) (てんくーる)	なんくーる		
クラス	くらす	Classes	New Gairaigo Counters	Formal	いちくらす いっくらす ひとくらす わんくらす	にくらす ふたくらす つーくらす	さんくらす (すりーくらす)	よんくらす (ふぉーくらす)	ごくらす (ふぁいぶくらす)	ろっくらす (ろくくらす) (しっくすくらす)	ななくらす (せぶんくらす)	はちくらす はっくらす (えいとくらす)	きゅうくらす (ないんくらす)	じゅっくらす (じっくらす) (てんくらす)	なんくらす		
グラム	ぐらむ	Grams	New Gairaigo Counters	Formal	いちぐらむ	にぐらむ	さんぐらむ	よんぐらむ	ごぐらむ	ろくぐらむ	ななぐらむ	はちぐらむ	きゅうぐらむ	じゅうぐらむ	なんぐらむ		
グループ	ぐるーぷ	Groups	New Gairaigo Counters	Daily	ひとぐるーぷ いちぐるーぷ わんぐるーぷ	ふたぐるーぷ にぐるーぷ つーぐるーぷ	さんぐるーぷ (すりーぐるーぷ)	よんぐるーぷ (ふぉーぐるーぷ)	ごぐるーぷ (ふぁいぶぐるーぷ)	ろくぐるーぷ (しっくすぐるーぷ)	ななぐるーぷ (せぶんぐるーぷ)	はちぐるーぷ (えいとぐるーぷ)	きゅうぐるーぷ (ないんぐるーぷ)	じゅうぐるーぷ (てんぐるーぷ)	なんぐるーぷ		
ゲーム	げーむ	Games	New Gairaigo Counters	Daily/Formal	いちげーむ わんげーむ (ひとげーむ)	にげーむ つーげーむ (ふたげーむ)	さんげーむ (すりーげーむ)	よんげーむ (ふぉーげーむ)	ごげーむ (ふぁいぶげーむ)	ろくげーむ (しっくすげーむ)	ななげーむ (せぶんげーむ)	はちげーむ (えいとげーむ)	きゅうげーむ (ないんげーむ)	じゅうげーむ (てんげーむ)	なんげーむ		
ゴール	ごーる	Goals	New Gairaigo Counters	Formal	わんごーる (いちごーる)	つーごーる (にごーる)	すりーごーる (さんごーる)	よんごーる ふぉーごーる	ごごーる ふぁいぶごーる	ろくごーる しっくすごーる	ななごーる せぶんごーる	はちごーる えいとごーる	きゅうごーる ないんごーる	じゅうごーる てんごーる	なんごーる		
シーン	しーん	Scenes	New Gairaigo Counters	Formal	いっしーん わんしーん	にしーん (つーしーん)	さんしーん (すりーしーん)	よんしーん (ふぉーしーん)	ごしーん (ふぁいぶしーん)	ろくしーん (しっくすしーん)	ななしーん (せぶんしーん)	はっしーん はちしーん (えいとしーん)	きゅうしーん (ないんしーん)	じゅっしーん (じっしーん) (てんしーん)	なんしーん		
ステップ	すてっぷ	Steps	New Gairaigo Counters	Formal	わんすてっぷ (いちすてっぷ)	つーすてっぷ (にすてっぷ)	すりーすてっぷ さんすてっぷ	よんすてっぷ (ふぉーすてっぷ)	ごすてっぷ (ふぁいぶすてっぷ)	ろくすてっぷ (しっくすすてっぷ)	ななすてっぷ (せぶんすてっぷ)	はちすてっぷ (えいとすてっぷ)	きゅうすてっぷ (ないんすてっぷ)	じゅっすてっぷ (じっすてっぷ) (てんすてっぷ)	なんすてっぷ		
セット	せっと	Sets	New Gairaigo Counters	Daily	いっせっと ひとせっと わんせっと	にせっと ふたせっと つーせっと	さんせっと (すりーせっと)	よんせっと (ふぉーせっと)	ごせっと (ふぁいぶせっと)	ろくせっと (しっくすせっと)	ななせっと (せぶんせっと)	はちせっと はっせっと (えいとせっと)	きゅうせっと (ないんせっと)	じゅっせっと (じっせっと) (てんせっと)	なんせっと		
センチ/センチメートル	せんち/せんちめーとる	Centimeters	New Gairaigo Counters	Formal	いっせんち(めーとる)	にせんち(めーとる)	さんせんち(めーとる)	よんせんち(めーとる)	ごせんち(めーとる)	ろくせんち(めーとる)	ななせんち(めーとる)	はちせんち(めーとる) はっせんち(めーとる)	きゅうせんち(めーとる)	じゅっせんち(めーとる) (じっせんち(めーとる))	なんせんち(めーとる)		
ダース	だーす	Dozens	New Gairaigo Counters	Formal	いちだーす	にだーす	さんだーす	よんだーす	ごだーす	ろくだーす	ななだーす	はちだーす	きゅうだーす	じゅうだーす	なんだーす		
タイプ	たいぷ	Types	New Gairaigo Counters	Daily	いちたいぷ (いったいぷ) (わんたいぷ)	にたいぷ (つーたいぷ)	さんたいぷ (すりーたいぷ)	よんたいぷ (ふぉーたいぷ)	ごたいぷ (ふぁいぶたいぷ)	ろくたいぷ (しっくすたいぷ)	ななたいぷ (せぶんたいぷ)	はちたいぷ (はったいぷ) (えいとたいぷ)	きゅうたいぷ (ないんたいぷ)	じゅったいぷ (じったいぷ) (てんたいぷ)	なんたいぷ		
チーム	ちーむ	Teams	New Gairaigo Counters	Daily	いっちーむ ひとちーむ (わんちーむ)	にちーむ ふたちーむ (つーちーむ)	さんちーむ (すりーちーむ)	よんちーむ (ふぉーちーむ)	ごちーむ (ふぁいぶちーむ)	ろくちーむ ろっちーむ (しっくすちーむ)	ななちーむ (せぶんちーむ)	はちちーむ はっちーむ (えいとちーむ)	きゅうちーむ (ないんちーむ)	じゅっちーむ (じっちーむ) (てんちーむ)	なんちーむ		
チャンス	ちゃんす	Chances	New Gairaigo Counters	Daily	わんちゃんす わんちゃん いっちゃんす	つーちゃんす にちゃんす	すりーちゃんす さんちゃんす	よんちゃんす (ふぉーちゃんす)	ごちゃんす (ふぁいぶちゃんす)	ろくちゃんす (しっくすちゃんす)	ななちゃんす (せぶんちゃんす)	はっちゃんす (えいとちゃんす)	きゅうちゃんす (ないんちゃんす)	じゅっちゃんす (じっちゃんす) (てんちゃんす)	なんちゃんす		
デニール	でにーる	Deniers	New Gairaigo Counters	Formal	いちでにーる	にでにーる	さんでにーる	よんでにーる	ごでにーる	ろくでにーる	ななでにーる	はちでにーる	きゅうでにーる	じゅうでにーる	なんでにーる		
ドル	どる	Dollars	New Gairaigo Counters	Formal	いちどる	にどる	さんどる	よんどる	ごどる	ろくどる	ななどる	はちどる	きゅうどる	じゅうどる	なんどる		
トン	とん	Tons	New Gairaigo Counters	Formal	いっとん	にとん	さんとん	よんとん	ごとん	ろくとん	ななとん	はちとん はっとん	きゅうとん	じゅっとん (じっとん)	なんとん		
ネット	ねっと	Nets	New Gairaigo Counters	Formal	ひとねっと わんねっと	ふたねっと つーねっと	さんねっと (すりーねっと)	よんねっと (ふぉーねっと)	ごねっと (ふぁいぶねっと)	ろくねっと (しっくすねっと)	ななねっと (せぶんねっと)	はちねっと (えいとねっと)	きゅうねっと (ないんねっと)	じゅうねっと (てんねっと)	なんねっと		
パターン	ぱたーん	Patterns	New Gairaigo Counters	Daily	いちぱたーん いっぱたーん ひとぱたーん わんぱたーん	にぱたーん ふたぱたーん つーぱたーん	さんぱたーん (すりーぱたーん)	よんぱたーん (ふぉーぱたーん)	ごぱたーん (ふぁいぶぱたーん)	ろくぱたーん (しっくすぱたーん)	ななぱたーん (せぶんぱたーん)	はちぱたーん (えいとぱたーん)	きゅうぱたーん (ないんぱたーん)	じゅっぱたーん (じっぱたーん) (てんぱたーん)	なんぱたーん		
バイト	ばいと	Bytes	New Gairaigo Counters	Formal	いちばいと	にばいと	さんばいと	よんばいと	ごばいと	ろくばいと	ななばいと	はちばいと	きゅうばいと	じゅうばいと	なんばいと		
パック	ぱっく	Packs	New Gairaigo Counters	Daily	いちぱっく いっぱっく ひとぱっく わんぱっく	にぱっく ふたぱっく つーぱっく	さんぱっく (すりーぱっく)	よんぱっく (ふぉーぱっく)	ごぱっく (ふぁいぶぱっく)	ろくぱっく ろっぱっく (しっくすぱっく)	ななぱっく (せぶんぱっく)	はちぱっく はっぱっく (えいとぱっく)	きゅうぱっく (ないんぱっく)	じゅっぱっく (じっぱっく) (てんぱっく)	なんぱっく		
ハロン	はろん	Furlongs	New Gairaigo Counters	Formal	いちはろん	にはろん	さんはろん	よんはろん	ごはろん	ろくはろん	ななはろん	はちはろん	きゅうはろん	じゅっはろん (じっはろん)	なんはろん		
